REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,opened,2009-06-05 20:31:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,title,2009-06-05 20:31:31,00:00,,1,,"b""b'  Easy Custom Interpolations '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,body,2009-06-05 20:31:31,00:00,,,1,"b'b"" **Reported by Michael Boutros** Hello! Recently I needed to add some custom interpolations for an attachment", and I thought the current way of having to add one through an initializer was cumbersome and kind of hackish, so I\'ve coded up a much easier method and submitted a pull request at Github. The commit: url  From the docs I wrote under #has_attachment: +interpolations+: Takes a hash of {:name =interpolations array. See Attachment#interpolations for more information on interpolations. For example: has_attached_file :avatar," :styles =        :default_style =        :url =        :path =        :interpolations = What does everyone think? url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,1,2009-06-05 20:31:31,902.88,,,1,"b""b' very good idea. For me it would be very helpful at the moment. +1 for merging it into main branch.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,2,2009-06-05 20:31:31,850.67,,,1,"b'b"" I like this one too and see that it\'s not implemented yet. So I forked and implemented it myself (since the patch / diff is missing)"," except I replaced that lengthy :interpolations with :tags. Looks pretty nice and tidy. Check it at: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,3,2009-06-05 20:31:31,1032.45,,1,,"b""b' If this is still an issue please resubmit your pull request.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,closed,2011-06-30 18:57:31,1346.0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,4,2009-06-05 20:31:31,6.2,,1,,"b""b' I know you guys are busy"," but so am I. Maybe sometime next year. :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,reopened,2011-06-30 19:05:11,7.67,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,5,2009-06-05 20:31:31,1078.05,,,1,"b'b"" I think the easiest way to solve this is to simply write the block near your attachment definition if you don\'t want it in an initializer. If you want to submit a pull request to get something better into master", though," you\'re welcome to. I\'ll close this one for now.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,closed,2011-11-04 13:01:46,1076.58,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,34,closed,-,-,-,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,44,closed,opened,2009-06-16 06:04:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paperclip,44,closed,title,2009-06-16 06:04:36,00:00,,1,,"b""b' Missing uploaded files"," maybe because of too many files open'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
