REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,opened,2011-06-01 16:16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,title,2011-06-01 16:16:36,00:00,,1,,"b""b' added an argument to jsonify : status code'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,body,2011-06-01 16:16:36,00:00,,,1,"b'b"" Hi"," Here\'s the thing :the first commit only passes the status argument to the Response base class.the second one updated the tests. Thanks for this great microframework !""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,1,2011-06-01 16:16:36,10.47,,,1,"b'b"" An interesting idea.  This causes jsonify to require an additional argument with no default", and imo we\'d want a 200 default.  Moving status to a keyword argument would prevent  a  with \'status\' as key.  We could use _status as the keyword, just like url_for\'s _external argument.  Armin and others," what do you think? -Ron""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,2,2011-06-01 16:16:36,8.57,,1,,"b""b'   could work"," but maybe we could make the function so that it merges status code and headers in. Then you could do that: Etc.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,closed,2011-06-01 16:35:38,19.03,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,reopened,2011-06-01 16:35:43,0.08,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,3,2011-06-01 16:16:36,8.88,1,,,"b'b"" ok"," but I don\'t see how to patch it... sorry. I\'ll take a look at it later.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,4,2011-06-01 16:16:36,12.65,,,1,"b""b' The approach would be a great solution", supporting as well: make_response already supports tuples.  @mitsuhiko, given the werkzeug response class api, would this be a positional argument or would  indirect the second element of the tuple to the status keyword of the response class. @elishowk," do you want to experiment with this idea and see how it works for you instead of changing jsonify? -Ron'""",,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,5,2011-06-01 16:16:36,79.65,,1,,"b""b' I made a helpler using make_response", to behave like I wanted sjonify to behave : url To have jsonify behave like :  return jsonify()," 404Then it would have to be a simple Am i wrong ?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,6,2011-06-01 16:16:36,642.43,,,1,"b""b' This is still a good idea"," moving discussion to #140.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,closed,2012-01-17 04:59:15,743.53,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,7,2011-06-01 16:16:36,961.85,,1,,"b""b' #430 fixes this.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,239,closed,-,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,opened,2011-06-28 21:50:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,title,2011-06-28 21:50:58,00:00,,1,,"b""b' Blueprint template lookup not documented enough'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,body,2011-06-28 21:50:58,00:00,,1,,"b""b' The new blueprint template lookup scheme where the templates folder is just added to the searchpath instead of doing some weird stuff with the names as before. The documentation has to be clearer about that.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,1,2011-06-28 21:50:58,1398.2,,1,,"b""b' When you say documentation", do you mean docstrings in the source and the like," or ? What about them do you wish was clearer?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,2,2011-06-28 21:50:58,164.0,,1,,"b""b' This is fixed.url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,closed,2012-03-13 23:53:10,122.2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,3,2011-06-28 21:50:58,847.9,,1,,"b""b' url  @rduplain  is this a feature? not a bug'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,4,2011-06-28 21:50:58,220.3,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,5,2011-06-28 21:50:58,400.35,1,,,"b""b' This still confusing. Can you add some examples in the documentation?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,6,2011-06-28 21:50:58,561.95,1,,,"b'b"" The current documentation url  is still confusing. It should state that the reason we have to render \'\' instead of \'\' is to avoid name conflict. However"," I would consider url  a bug.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,7,2011-06-28 21:50:58,214.37,,1,,"b""b' @rduplain I have been struggling with this BUG for an hour. And It is so not a feature. At least"," there should be some argument could be set to make the higher priority of template_folder.  PS. How to print the current searchpath of templates?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,8,2011-06-28 21:50:58,291.25,,1,,"b""b' Reopening because of doc issues.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,reopened,2014-08-26 18:09:17,1096.12,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,266,closed,9,2011-06-28 21:50:58,1221.55,,1,,"b'b"" it\'s a BUG.template renderer must not use other\'s blueprint template folder to make a page.it makes no sense to duplicate name of blueprint in template subfolder"," I\'ve made separated blueprints to handle index pages separately""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
