REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,13,2011-08-19 14:49:41,4.68,,,1,"b""b' @timw4mail lets not have another boring argument. Right now it all works perfectly fine. If somebody hardcodes a specific base_url I absolutely expect it to only ever use links with that specific base_url", meaning if I set my base to https and I load it on http, then I would expect all links to be https. So, if right now CodeIgniter behaves as expected, and the change offers nothing useful other than changing the syntax of what we do already then what is the point? Is the one if statement required to check so  expensive we need to remove it and recode a bunch of logic around it, leading to more potential bugs for no benefit? If somebody wants to set the base_url to then that may or may not work, there will be some regular expressions that might need updating," but thats not something that CI should do by default. Other than that we have no feature request here and no bug.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,14,2011-08-19 14:49:41,10.12,,1,,"b'b"" Okay"," I\'m sold on those arguments we don\'t need it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,closed,2012-06-21 19:31:13,72.85,2,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,165,closed,-,-,-,2,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,opened,2011-08-21 15:32:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,title,2011-08-21 15:32:23,00:00,,1,,"b""b' Fix for issue #149: CSRF protection URI whitelisting'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,body,2011-08-21 15:32:23,00:00,,1,,"b'b"" Fix for issue #149 When developing applications that may have a web front end and an API front end (for example using Phil\'s REST server library) if you have CSRF protection enabled then POST API requests will fail because a non existent CSRF token can\'t be verified when the request is received. The changes here add a new config parameter \'csrf_exclude_uris\' which allows for URIs to be whitelisted from CSRF protection. I\'ve also updated the Security library documentation.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,1,2011-08-21 15:32:23,0.85,,1,,"b""b' Gah"," Github picked up on some other irrelevant commits. The last two in the list above are the relevant commits.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,2,2011-08-21 15:32:23,7.0,,,1,"b""b' @alexbilbie Excellent work.  You have any thoughts if it would be better to white list based on external urls instead of your own uris?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,3,2011-08-21 15:32:23,3.52,,1,,"b'b"" No no", that would be far too complicated," wouldn\'t scale etc. Better to have one or two endpoints that explicitly don\'t check for a CSRF cookie and yet still have the rest of your application secure""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,closed,2011-08-21 15:43:45,11.37,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,reopened,2011-08-21 15:43:49,0.07,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,4,2011-08-21 15:32:23,572.68,,1,,"b""b' @alexbilbie Can you also add a note in the changelog about this? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,closed,2011-08-25 03:22:07,698.3,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,5,2011-08-21 15:32:23,824.85,,,1,"b""b' Great! I needed it some months ago. Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,6,2011-08-21 15:32:23,380.28,,,1,"b""b' Awesome fix! I have a little lump of code that allows generalized uris to be white listed. For example", if you specify only the controller," all methods will be whitelisted too. Is that something EllisLabs would appreciate within this feature too? Great fix alexbilbie!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,7,2011-08-21 15:32:23,623.47,1,,,"b""b' is this available in the latest stable version? 2.1.0 ? '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,8,2011-08-21 15:32:23,951.08,,1,,"b""b' still not available in 2.1.1 :-('""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,9,2011-08-21 15:32:23,708.75,,1,,"b'b"" For some reason this wasn\'t merged into 2.1 or 2.1.1 releases. It will definitely be in 3.0.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,10,2011-08-21 15:32:23,1293.43,,,1,"b""b' Still nothing on 2.1.3... It would be great feature.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,236,closed,-,-,-,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,opened,2011-08-21 18:16:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,title,2011-08-21 18:16:43,00:00,,1,,"b""b' Fix #156: Only flock if non-blocking and we actually obtain the lock'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,body,2011-08-21 18:16:43,00:00,,1,,"b""b' The issue starts off regarding NFS file systems not supporting locking"," but this is really careful programming. Since it is a debug log we might not want to actually still attempt to write (I left it in there) but went over the documents at url  and it seems this is the correct way to go. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,1,2011-08-21 18:16:43,209.75,,1,,"b""b' Changelog please :)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,2,2011-08-21 18:16:43,3.45,1,,,"b""b' This is danger in both NFS and non-NFS file system.if another process is writing log", the other process also can try to write log not waiting to get lock," so it may breaks log file.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,3,2011-08-21 18:16:43,166.3,,1,,"b'b"" From what I understood with the NB flag it will return immediately if it can\'t obtain the lock"," no? We should probably append the pid or something to the end of each log. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,closed,2011-08-22 00:36:13,379.5,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,reopened,2011-08-22 00:36:15,0.03,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,4,2011-08-21 18:16:43,22.78,,1,,"b'b"" Yes. NB does not wait", if it can\'t obtain the lock, return FALSE. So your pull request causes that more than 2 process may write the same file at the same time. I think it is better to separate logic NFS and non-NFS," and in NFS a way of locking or PID or something is needed. See: url ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,5,2011-08-21 18:16:43,1193.07,,1,,"b'b"" @johnbellone Any chance you can update this issue or pull request? Has this been fixed by someone else? Let\'s get this finalized finally.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,6,2011-08-21 18:16:43,240.35,1,,,"b'b"" What\'s our course here? Separating the logic for NFS vs. non-NFS a suggested method there is using a and method of counting this can also return FALSE on antiquated file systems such as FAT. ""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,7,2011-08-21 18:16:43,493.82,,1,,"b'b"" I just tested this and it\'s not a viable solution it would skip logging even when it would usually be possible.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,closed,2014-01-07 09:06:14,509.98,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,245,closed,-,-,-,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,opened,2011-08-21 20:56:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,title,2011-08-21 20:56:04,00:00,,1,,"b""b' Added New Form Validation Rules'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,body,2011-08-21 20:56:04,00:00,1,,,b'b\' Some of them might need to be changed to make them better, faster," etc... some might just need to be axed altogether. What do you guys think? ~~Okay... I\\\'ve accidentally \\\'earmarked\\\' a few other commits to this pull request. I\\\'m still learning this whole ""git flow"" thing", so bear with me. In any case, piggy-backing onto this pull request, also," are:~~~~A new Cart library method that allows one to get the details of a specific item in a cart~~~~A bug fix to the MySQL Utility class that allows one to provide a db name as well as a table while using the method.~~ **EDIT**I forgot to mention up here that the ""earmarks"" have been long-since removed and this has _only_ the validation rules in it. Sorry for the confusion!\''",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,1,2011-08-21 20:56:04,53.35,,,1,"b""b' I love this"," but want to think about handling if the email domains exist.  :D'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,2,2011-08-21 20:56:04,1249.9,,,1,"b""b' @huglester: Good idea. Done (see above commits).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,3,2011-08-21 20:56:04,172.2,,1,,"b'b"" I\'ve just added my changes to the changelog.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,closed,2011-08-23 21:31:31,35.45,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,reopened,2011-08-23 21:31:44,0.22,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,4,2011-08-21 20:56:04,0.83,1,,,"b'b"" WTF... didn\'t mean to close the request. My bad.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,5,2011-08-21 20:56:04,1331.87,,,1,"b'b"" Okay"," I cleaned up this pull-request a bit. There were a bunch of commits that didn\'t belong so I reverted them to how they should be. Would love to see these validation rules merged in.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,6,2011-08-21 20:56:04,1399.27,1,,,"b""b' A (more) improved version of  : Edit: Fixed the line first argument was hard-coded.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,7,2011-08-21 20:56:04,13.0,,1,,"b""b'   and are not really needed as the same effect is achieved if and are used with  values.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,8,2011-08-21 20:56:04,47.07,,,1,"b""b' @narfbg I like your changes to the methodperfectly reasonable! I made the change and committed it. I even tested the vs my Split-Pop method and it proved to be twice as fast! Good work!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,9,2011-08-21 20:56:04,6.13,,,1,"b'b"" @narfbg", Ah, I see what you mean about the and methods. Now I feel kinda dumb. What you\'re saying is if you wanted to match any value between 50 and 100," you\'d do: I\'ll remove those methods as I now agree with you that they are superfluous. Thanks again for the input!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,10,2011-08-21 20:56:04,6.8,,1,,"b""b' Might want to merge the develop branch with your existing one as well.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,11,2011-08-21 20:56:04,87.37,,,1,"b'b"" @kylefarris You\'re welcome! @chrisberthe has a point btw there\'s been a huge amount of changes made to the  branch that would most likely prevent your pull request from being accepted due to conflicts. You should also remove the lang strings for less_than_equal_to and greater_than_equal to. I\'d also consider again dropping the SSN rule as you\'ve previously discussed. Unless you\'re adding a whole new . the less new methods that you introduce in a single commit"," the greater the chance that the maintainers would accept your request as they would evaluate each of them separately.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,12,2011-08-21 20:56:04,993.98,,,1,"b'b"" @narfbg I\'ll take your suggestion for smaller requests in the future. That would definitely make merges easier.  As for merging with the latest development branch", I know I need to do it... I usually work by writing and testing my code on my machine and then I copy and paste the changes to the github editor (the one in the browser) since I do most my CI development in my free time at work where I can\'t really use the git client. I\'ll have to do the merging at home tonight," I guess. I\'ve never actually done it so I hope it goes smoothly. Could be a real PITA. Thanks for the advice.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,13,2011-08-21 20:56:04,227.9,,1,,"b""b' Okay", I think that ought to do it. Can someone please merge this before it gets out of date again," haha.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeIgniter,254,closed,14,2011-08-21 20:56:04,928.58,,,1,"b'b"" @narfbg Will this be merged once ? It\'s a very nice addition I think""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
